Comm 0,Comm 1
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
0.1048,30.0442
